Sample	DeltaCN	BaselineCN	GeneName	OriginalDeltaCN
W18	-0.495418947549529	1.68123173984189	MYCN	-1
W24	-0.135171869267605	1.68123173984189	MYCN	-1
EOT	-0.128257735539202	1.68123173984189	MYCN	-1
W18	-0.236597381217643	1.84063858520474	PRDM1	-1
W24	-0.057039091518803	1.84063858520474	PRDM1	-1
EOT	-0.0676998092630297	1.84063858520474	PRDM1	-1
W18	-0.236597381217643	1.84063858520474	GOPC	-1
W24	-0.057039091518803	1.84063858520474	GOPC	-1
EOT	-0.0676998092630297	1.84063858520474	GOPC	-1
W18	-0.236597381217643	1.84063858520474	ROS1	-1
W24	-0.057039091518803	1.84063858520474	ROS1	-1
EOT	-0.0676998092630297	1.84063858520474	ROS1	-1
W18	-0.0332609866773541	2.00040890978678	MLL3	-1
W24	0.00169135539525156	2.00040890978678	MLL3	-1
EOT	-0.00678227332009129	2.00040890978678	MLL3	-1
W18	0.426644027910536	2.11328829589594	FGFR1	1
W24	0.239995263409126	2.11328829589594	FGFR1	1
EOT	0.247223100232864	2.11328829589594	FGFR1	1
W18	0.370001843803361	2.07316813083454	PCM1	1
W24	0.264752779151292	2.07316813083454	PCM1	1
EOT	0.271653758335767	2.07316813083454	PCM1	1
W18	0.426644027910536	2.11328829589594	NSD3	1
W24	0.239995263409126	2.11328829589594	NSD3	1
EOT	0.247223100232864	2.11328829589594	NSD3	1
W18	0.426644027910536	2.11328829589594	WRN	1
W24	0.239995263409126	2.11328829589594	WRN	1
EOT	0.247223100232864	2.11328829589594	WRN	1
W18	0.527022250668351	2.15474888376455	MYC	1
W24	0.303179318995615	2.15474888376455	MYC	1
EOT	0.322725763431845	2.15474888376455	MYC	1
W18	0.257896952881226	2.12347570451343	NDRG1	1
W24	0.152774128185843	2.12347570451343	NDRG1	1
EOT	0.159678335817212	2.12347570451343	NDRG1	1
W18	0.527022250668351	2.15474888376455	COX6C	1
W24	0.303179318995615	2.15474888376455	COX6C	1
EOT	0.322725763431845	2.15474888376455	COX6C	1
W18	0.527022250668351	2.15474888376455	EXT1	1
W24	0.303179318995615	2.15474888376455	EXT1	1
EOT	0.322725763431845	2.15474888376455	EXT1	1
W18	0.426644027910536	2.11328829589594	HEY1	1
W24	0.239995263409126	2.11328829589594	HEY1	1
EOT	0.247223100232864	2.11328829589594	HEY1	1
W18	0.426644027910536	2.11328829589594	NCOA2	1
W24	0.239995263409126	2.11328829589594	NCOA2	1
EOT	0.247223100232864	2.11328829589594	NCOA2	1
W18	0.426644027910536	2.11328829589594	TCEA1	1
W24	0.239995263409126	2.11328829589594	TCEA1	1
EOT	0.247223100232864	2.11328829589594	TCEA1	1
W18	-0.236597381217643	1.84063858520474	EZR	0
W24	-0.057039091518803	1.84063858520474	EZR	0
EOT	-0.0676998092630297	1.84063858520474	EZR	0
W18	0.426644027910536	2.11328829589594	LEPROTL1	0
W24	0.239995263409126	2.11328829589594	LEPROTL1	0
EOT	0.247223100232864	2.11328829589594	LEPROTL1	0
W18	0.426644027910536	2.11328829589594	NRG1	0
W24	0.239995263409126	2.11328829589594	NRG1	0
EOT	0.247223100232864	2.11328829589594	NRG1	0
W18	0.527022250668351	2.15474888376455	CSMD3	0
W24	0.303179318995615	2.15474888376455	CSMD3	0
EOT	0.322725763431845	2.15474888376455	CSMD3	0
W18	0.527022250668351	2.15474888376455	RAD21	0
W24	0.303179318995615	2.15474888376455	RAD21	0
EOT	0.322725763431845	2.15474888376455	RAD21	0
W18	0.257896952881226	2.12347570451343	FAM135B	0
W24	0.152774128185843	2.12347570451343	FAM135B	0
EOT	0.159678335817212	2.12347570451343	FAM135B	0
W18	-0.393312402492518	1.78875946200743	TP53	0
W24	-0.123844767916929	1.78875946200743	TP53	0
EOT	-0.0501440097214179	1.78875946200743	TP53	0
